proj_id,bible_gateway,bootstrap,css,csv,d3_js,google_maps,javascript,json,oxford,pearson,r_spec,react_native,ruby,ruby_on_rails,scss,zing_charts,firebase,html,c_plus_plus,qt_creator,qt,qwidget,name
1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,basedPaintProgram
2,false,true,true,false,false,false,true,false,false,false,false,false,true,true,true,false,false,true,false,false,false,false,vimCommands
3,false,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,false,true,false,false,false,false,wordRecurrence
4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,textEditor
5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,basicScientificeCalc
6,false,true,true,false,false,true,true,false,false,false,true,false,true,true,true,false,false,true,false,false,false,false,skateSpotWebApp
7,true,true,true,true,true,false,true,true,false,false,false,false,true,true,true,false,false,true,false,false,false,false,manyColorSchemes
8,false,true,true,true,true,false,true,true,false,false,false,false,true,true,true,false,false,true,false,false,false,false,herbData
9,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,skateSpotMobileApp
10,false,true,true,false,false,false,true,false,false,false,false,false,true,true,true,false,false,true,false,false,false,false,threeIngredients
